#,Mainly operations,Mainly development,InfoSec,Site Reliability Engineer/DevOps,Release management,Testing/Quality Assurance,Architect,Other,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",HashiCorp Nomad,Docker EE,OpenShift on AWS,Other,Amazon ECR,Docker Hub,JFrog Artifactory,CNCF Harbor,Quay.io or on-premises,Other,Native ECR scanning,DIY Clair,DIY Trivy,Aqua Security,StackRox,Sysdig Secure,Prisma Cloud (Twistlock),"Nope, not scanning images (yet)",Other,CNCF Falco,Aqua Security,Prisma Cloud (Twistlock),Twistlock Defender,NeuVector,"Nope, not scanning containers (yet)",Other,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,CyberArk,DIY encryption,"Nope, not encrypting sensitive data (yet)",Other,CNCF Notary,CNCF TUF-based,"Nope, not signing my images (yet)",Other,CNCF in-toto,Grafeas,"Nope, not managing my supply chain (yet)",Other,CNCF Open Policy Agent,Aqua Security,Prisma Cloud (Twistlock),Octarine,Portshift,DIY policy management,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),Are you using Kubernetes?,GitOps,Weave Net,Calico,Cilium,DIY eBPF,"Nope, not using Network Policies (yet)",Via a service mesh,Other,Kubernetes: pod security policies,Other,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",Other,Kubernetes: least-privileges AWS services access,Other,Any other security-related feature of AWS you're using? Any container security tool?,Start Date (UTC),Submit Date (UTC),Network ID
c2dfv3l62w8b9h5bsljec2dmm906jant,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,nope,2020-10-05 23:53:08,2020-10-05 23:55:41,e06edccdf3
fl6r2wdkm3ghjzhe1e8mfl6r2wmq9u9s,,,,,,,Architect,,,,EKS on EC2,EKS on Fargate,,,,OpenShift on AWS,,,,,,Quay.io or on-premises,,,,,,,,Prisma Cloud (Twistlock),,,,,Prisma Cloud (Twistlock),,,,,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,,Custom in-house built ,,,Prisma Cloud (Twistlock),,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,1,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,,Active Directory/LDAP,,,,Not assigning IAM roles yet,Selinux,2020-07-31 11:24:01,2020-07-31 11:28:28,f6d9fd7532
lrnlryr1nth6y5lrnlrr0gsguwvtkv2f,Mainly operations,,,,,,,,ECS on EC2,,,,"DIY Kubernetes (kops, etc.)",,Docker EE,,,,Docker Hub,JFrog Artifactory,,,,,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,,,,,credstash,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),0,,,,,,,,,,,,,,,,,Sysdig,2020-07-31 11:09:28,2020-07-31 11:13:01,4969ca4274
2uyppqfi13752nr3upqky62to2uyppqf,Mainly operations,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,,,JFrog Artifactory,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-07-31 10:50:57,2020-07-31 10:53:52,8f36ba7db3
vsya73pxij26gbiqvsya70s8co9znach,,,,Site Reliability Engineer/DevOps,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,,2020-07-31 10:38:00,2020-07-31 10:39:52,7bf536127e
e6dtafpe6oqwzvhwye6dtafpyy4nkqm2,,,,Site Reliability Engineer/DevOps,,,,,ECS on EC2,ECS on Fargate,EKS on EC2,,,,,,,,Docker Hub,,,,,,DIY Clair,,,,,,,,CNCF Falco,,,,,,,AWS Secrets Manager,,,,,,,CNCF Notary,,,,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,,Amazon EC2 security group or network ACLs,,,1,0,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,no,2020-07-31 09:53:19,2020-07-31 09:57:16,fbb726ac61
jw1z1nzs4yntcvza1zvjw1pqnb4f6wgw,,,InfoSec,Site Reliability Engineer/DevOps,,,Architect,,ECS on EC2,ECS on Fargate,,,,,,,,Amazon ECR,Docker Hub,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",,0,,,,,,,,,,,,,,,,,Using AWS AppMesh for East-West communications. AWS IAM all the way for permissions. Plan to use Bottlerocket for any deployment for ECS on top of EC2. Long live ECS.,2020-07-31 09:48:59,2020-07-31 09:52:28,c90f1a601c
cl8h87kesssnf96jrwncl8h879tcfjjy,,,,Site Reliability Engineer/DevOps,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,,Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,Security Hub,2020-07-31 09:36:44,2020-07-31 09:39:20,2ec1ef2d43
tac9epk4m505pmldtac9evvu0l4l4enz,,,,Site Reliability Engineer/DevOps,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,,,,Gitlab Container Registry on own Gitlab,,,,,,,,,DIY Anchore,,,,,,"Nope, not scanning containers (yet)",,,,,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",,1,1,Weave Net,,,,,,,"Yes, PSP",,,,"SSO (OpenID Connect/dex, etc.)",,I'm assigning the IAM role to the nodes,,,2020-07-31 09:28:51,2020-07-31 09:35:30,5073716ab9
zbsl43j3gbx2bdjvp47zbsl7uc3570iv,,Mainly development,InfoSec,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,,,Kubernetes Network Policy,"Yes, PSP",,IAM users/roles,,,,kube2iam,,"Guard Duty, Inspector plus running Aqua Security Scans",2020-07-31 09:29:59,2020-07-31 09:33:11,381e5836fc
sw04b24stdgg0oq9zh1ut1sw04b24c4j,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,,2020-07-31 09:26:19,2020-07-31 09:32:28,cd7b20c721
w3l5xskzbxray12pw3l5xapi6igxe51n,,,,Site Reliability Engineer/DevOps,,,,,ECS on EC2,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,0,,,,,,,,,,,,,,,,,,2020-07-31 09:30:13,2020-07-31 09:31:14,c8cd5533b6
